project_id,project_name,field,current_value,verified_value,match,source_url,source_document_type,source_date,source_tier,proposed_action,notes
168,505 Dorchester Avenue (Dot Ave),total_gsf,1386500,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 1: identical 1,386,500 GSF on ids 168/170/172, which are also identical on commercial_gsf (1,286,100), residential_units (0), developer, city, neighborhood and total_gsf_source. Three contiguous On the Dot parcels in South Boston with three separate BPDA pages. If this is one master-plan figure written onto three component rows, the site is overstated by 2,773,000 GSF. Not resolved here; requires reading all three BPDA filings (Tier 1)."
170,65 Ellery Street,total_gsf,1386500,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 1: identical 1,386,500 GSF on ids 168/170/172, which are also identical on commercial_gsf (1,286,100), residential_units (0), developer, city, neighborhood and total_gsf_source. Three contiguous On the Dot parcels in South Boston with three separate BPDA pages. If this is one master-plan figure written onto three component rows, the site is overstated by 2,773,000 GSF. Not resolved here; requires reading all three BPDA filings (Tier 1)."
172,75 Ellery Street,total_gsf,1386500,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 1: identical 1,386,500 GSF on ids 168/170/172, which are also identical on commercial_gsf (1,286,100), residential_units (0), developer, city, neighborhood and total_gsf_source. Three contiguous On the Dot parcels in South Boston with three separate BPDA pages. If this is one master-plan figure written onto three component rows, the site is overstated by 2,773,000 GSF. Not resolved here; requires reading all three BPDA filings (Tier 1)."
167,232 A Street,total_gsf,455000,,unverified,,,,,investigate,"STRUCTURAL CHECK 1: GSF 455,000 shared with one other in-scope row. Different city/developer/asset class and no other shared fields, so most likely coincidence. Verify independently in the normal pass."
433,Cambridgeside Redevelopment - 80 First Street,total_gsf,455000,,unverified,,,,,investigate,"STRUCTURAL CHECK 1: GSF 455,000 shared with one other in-scope row. Different city/developer/asset class and no other shared fields, so most likely coincidence. Verify independently in the normal pass."
164,22-24 Pratt Street,total_gsf,311000,,unverified,,,,,investigate,"STRUCTURAL CHECK 1: GSF 311,000 shared with one other in-scope row. Different city/developer/asset class and no other shared fields, so most likely coincidence. Verify independently in the normal pass."
261,41 Berkeley Street,total_gsf,311000,,unverified,,,,,investigate,"STRUCTURAL CHECK 1: GSF 311,000 shared with one other in-scope row. Different city/developer/asset class and no other shared fields, so most likely coincidence. Verify independently in the normal pass."
408,Cambridge Crossing (North Point) - Remaining Master Plan,total_gsf,1955595,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 2: master-plan REMAINDER row. Inclusive vs exclusive of the named component buildings cannot be determined from the database — the approved master-plan total is not stored anywhere. Needs the PUD/Master Plan Special Permit (Cambridge CDD, Tier 1)."
422,Kendall Common - Development Remaining,total_gsf,2151529,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 2: master-plan REMAINDER row. Inclusive vs exclusive of the named component buildings cannot be determined from the database — the approved master-plan total is not stored anywhere. Needs the PUD/Master Plan Special Permit (Cambridge CDD, Tier 1)."
468,MXD Infill - 105 Broadway (Building E),total_gsf,302400,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 2: master-plan REMAINDER row. Inclusive vs exclusive of the named component buildings cannot be determined from the database — the approved master-plan total is not stored anywhere. Needs the PUD/Master Plan Special Permit (Cambridge CDD, Tier 1). This row also carries a specific building name and street address (105 Broadway, Building E) while holding a 'Development Remaining' status, which is internally inconsistent with the other two remainder rows."
332,Suffolk Downs Phase 4,total_gsf,3183000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: one of five Suffolk Downs phase rows summing to 10,520,000 GSF, with no phase_group linking them and no approved master-plan total stored. A sixth row (id=382, Beachmont Square, Revere, 1,700,000) is the same site across the municipal line. Phases-vs-approved-total cannot be checked without the Article 80 master plan (Tier 1)."
331,Suffolk Downs Phase 3,total_gsf,2905000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: one of five Suffolk Downs phase rows summing to 10,520,000 GSF, with no phase_group linking them and no approved master-plan total stored. A sixth row (id=382, Beachmont Square, Revere, 1,700,000) is the same site across the municipal line. Phases-vs-approved-total cannot be checked without the Article 80 master plan (Tier 1)."
335,Suffolk Downs Phase 2,total_gsf,1731000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: one of five Suffolk Downs phase rows summing to 10,520,000 GSF, with no phase_group linking them and no approved master-plan total stored. A sixth row (id=382, Beachmont Square, Revere, 1,700,000) is the same site across the municipal line. Phases-vs-approved-total cannot be checked without the Article 80 master plan (Tier 1)."
333,Suffolk Downs Phase 5,total_gsf,1363000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: one of five Suffolk Downs phase rows summing to 10,520,000 GSF, with no phase_group linking them and no approved master-plan total stored. A sixth row (id=382, Beachmont Square, Revere, 1,700,000) is the same site across the municipal line. Phases-vs-approved-total cannot be checked without the Article 80 master plan (Tier 1)."
334,Suffolk Downs Phase 1,total_gsf,1338000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: one of five Suffolk Downs phase rows summing to 10,520,000 GSF, with no phase_group linking them and no approved master-plan total stored. A sixth row (id=382, Beachmont Square, Revere, 1,700,000) is the same site across the municipal line. Phases-vs-approved-total cannot be checked without the Article 80 master plan (Tier 1)."
275,Seaport Square - Block L3 & L6,total_gsf,780000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: Seaport Square block row; 4 blocks sum to 1,943,400 GSF with no phase_group and no stored master-plan total. Sibling id=277 (Block F, 14,000) is below audit scope."
276,Seaport Square - Block G,total_gsf,650000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: Seaport Square block row; 4 blocks sum to 1,943,400 GSF with no phase_group and no stored master-plan total. Sibling id=277 (Block F, 14,000) is below audit scope."
369,Seaport Square - Block D,total_gsf,499400,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: Seaport Square block row; 4 blocks sum to 1,943,400 GSF with no phase_group and no stored master-plan total. Sibling id=277 (Block F, 14,000) is below audit scope."
346,Allston Yards Building C,total_gsf,430000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: Allston Yards building row; 4 buildings, no phase_group. Sibling id=270 (Building B) carries total_gsf = 0 and so is invisible to this audit despite being part of an in-scope site."
345,Allston Yards Building D,total_gsf,336000,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 3: Allston Yards building row; 4 buildings, no phase_group. Sibling id=270 (Building B) carries total_gsf = 0 and so is invisible to this audit despite being part of an in-scope site."
267,776 Summer Street - Phase 1,total_gsf,754500,,unverified,,,,,flag_for_review,STRUCTURAL CHECK 3: 776 Summer Street Phase 1. Phase 2 (id=115) carries total_gsf = 0 and falls outside audit scope despite being part of the same site.
363,1000 Boylston Street,status,Board Approved,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 4: notes record 'WITHDRAWN/DEAD: 1000 Boylston Street (scrapped 2019)' while status is still 'Board Approved'. A row cannot be both. Note the basis recorded is 'Operator spot-check' — a manual note, NOT a Tier 1 filing, so it cannot change the status on its own either."
372,Tremont Crossing (P-3),status,Board Approved,,unverified,,,,,flag_for_review,"STRUCTURAL CHECK 4: notes record 'WITHDRAWN/DEAD: Tremont Crossing (P-3) (designation expired January 2026)' while status is still 'Board Approved'. Basis recorded is 'Operator spot-check', not Tier 1."
246,1170-1190 Soldiers Field Road (abandoned),status,Board Approved,,unverified,,,,,flag_for_review,STRUCTURAL CHECK 4: the word '(abandoned)' is in the PROJECT NAME while status is 'Board Approved'. Either the name or the status is wrong.
